r_kms,column_density_per_cm2
1764.7058823529412,6616183847551.992
1954.2149932719165,6521282241353.172
2164.0752026263,6426625620149.785
2396.471984272823,6331686634626.385
2653.8255068191684,6236935560681.387
2938.8158371402947,6142169443583.304
3254.41085046257,6047411512310.07
3603.8971376697655,5952655883079.509
3990.914231698275,5858092596890.634
4419.492509453323,5763260544613.915
4894.095163955089,5668418304673.056
5419.664683810349,5573683323099.229
6001.67432404482,5478954477879.23
6646.18510431064,5384233403869.326
7359.908928045802,5289521898213.152
8150.278479905003,5194988448510.163
9025.524629370706,5100136112755.732
9994.76214662134,5005463992486.887
11068.084623297975,4910809116748.48
12256.669586669042,4816173706988.412
13572.89490184754,4721558508971.127
15030.467674266838,4626968819624.768
16644.56699479997,4532554879475.805
18432.002014062335,4437882427904.28
20411.386992076015,4343391823451.406
22603.335146254514,4248943469142.8545
25030.673316431028,4154544582544.284
27718.67968244118,4060194582662.699
30695.34700983931,3965906625150.352
33991.67416517703,3871815502858.462
37641.988936668145,3777543964086.3193
41684.305522080496,3683483944224.8833
46160.72040671366,3589518618715.1836
51117.85075411867,3495662298770.425
56607.31987493642,3401918436972.0273
62686.29482950618,3308309364991.736
69418.08176280805,3214848543686.201
76872.7851715315,3121550834726.956
85128.03796884081,3028433575394.499
94269.80994970036,2873610348628.719
104393.30307607229,2842828272360.544
115603.94290544944,2750385345375.286
128018.47648740222,2658400442897.975
141766.18816158915,2566357306609.902
156990.24591848525,2474836825242.2236
173849.19234376418,2383691539290.6807
192518.59567295882,2292960831220.603
213192.87815039215,2202690605648.8755
236087.34073283002,2112927637059.7336
261440.40522301605,2023884370965.1516
289516.0971825459,1935141890434.1501
320606.7954810309,1847242488101.602
355036.2771152071,1760096148545.7551
393163.08900658827,1673778771926.5342
435384.2818914072,1588371256392.5618
482139.5451873639,1503965276116.8271
533915.7858975223,1420793571517.5098
591252.1992357826,1338550522118.8296
654745.8837792191,1257759581254.8625
725058.0596231739,1178404409634.4429
802920.9542946732,1100615217275.3308
889145.4281337475,1024522408884.639
984629.418552952,950273614059.323
1090367.2911132446,878016498211.2147
1207460.1947978486,807906086393.2822
1337127.5293233604,740101203814.0114
1480719.643908199,674763014381.1775
1639731.8997426745,612055608590.7845
1815820.2426065772,552131461198.2117
2010818.4478067767,495147754531.89734
2226757.217022672,441246272361.966
2465885.3259332147,390557192596.623
2730693.0428558127,343192178986.77515
3023938.062277553,299241134356.7024
3348674.2233494455,258768877118.289
3708283.3124165093,221803360942.01437
4106510.2807738287,188343561841.45657
4547502.244404317,158347454156.9408
5035851.671839801,131734019184.1029
5576644.209901591,108381619795.78418
6175511.645375214,88131683330.02933
6838690.554159968,70787758401.56828
7573087.248662333,56123985551.25216
8386349.699792285,43891282068.91337
9286947.182554813,33824368580.509346
10284258.474661388,25620689142.539642
11388669.526657974,19030838632.05368
12611681.620701289,13997244645.408163
13966031.144342946,10182030201.188055
15465822.226640629,7302005392.998844
17126673.61786157,5151111257.40594
18965881.342376433,3567045057.667033
21002598.81860332,2419596137.178383
23258036.32176075,1604088774.5564787
25755681.866627067,1036790029.5456202
28521545.810565796,651352168.2865354
31584431.72410311,396438701.69264245
34976236.34988884,232644725.64285544
38732281.77379923,131048820.21912347
42891683.26739484,68820828.3786608
